epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.039,1.10923,1.93844,1.6344,0.91612,0.90552,0.95014,0.54975,1.42655,1.26093,1.78513,0.00332574,0.00332574,0.00332574
2,843.609,0.97162,0.91127,1.45858,0.91068,0.89541,0.94211,0.63507,1.12897,0.77511,1.52341,0.00665248,0.00665248,0.00665248
3,1287.31,1.01969,0.70435,1.50898,0.90578,0.82967,0.91461,0.60766,1.18989,0.84618,1.55758,0.00997262,0.00997262,0.00997262
4,1755.07,1.00189,0.61624,1.49561,0.90754,0.91426,0.95318,0.6568,1.07651,0.66051,1.50047,0.0099703,0.0099703,0.0099703
5,2243.39,0.95714,0.55203,1.45746,0.88097,0.89621,0.94235,0.56613,1.39978,0.75346,1.78594,0.0099604,0.0099604,0.0099604
6,2739.79,0.89951,0.51882,1.41032,0.90921,0.92617,0.95791,0.66392,1.09299,0.65321,1.49476,0.0099505,0.0099505,0.0099505
7,3254.7,0.86885,0.48371,1.38329,0.92028,0.91218,0.96688,0.70783,0.9783,0.57655,1.37946,0.0099406,0.0099406,0.0099406
8,3785.96,0.84717,0.47201,1.36232,0.89677,0.9022,0.95513,0.67897,1.04303,0.67215,1.42492,0.0099307,0.0099307,0.0099307
9,4328.7,0.83807,0.45357,1.35755,0.94762,0.93746,0.97811,0.71495,1.00569,0.53715,1.38607,0.0099208,0.0099208,0.0099208
10,4894.26,0.81697,0.44003,1.33436,0.92128,0.91098,0.96312,0.73796,0.8675,0.54421,1.32118,0.0099109,0.0099109,0.0099109
11,5472.84,0.82126,0.44456,1.32784,0.95759,0.94744,0.98294,0.75032,0.91759,0.4862,1.3285,0.009901,0.009901,0.009901
12,6060.09,0.80418,0.42749,1.32287,0.94753,0.88908,0.97081,0.67647,1.10949,0.59457,1.4827,0.0098911,0.0098911,0.0098911
13,6647.08,0.78067,0.41639,1.31255,0.94106,0.9349,0.97759,0.78193,0.78612,0.47024,1.25838,0.0098812,0.0098812,0.0098812
14,7244.19,0.77783,0.41566,1.29785,0.94523,0.95297,0.98127,0.77286,0.83857,0.47668,1.2852,0.0098713,0.0098713,0.0098713
15,7852.8,0.76787,0.41336,1.29984,0.95163,0.92748,0.97966,0.7424,0.93659,0.49704,1.34059,0.0098614,0.0098614,0.0098614
16,8461.44,0.75721,0.40809,1.2917,0.96321,0.95742,0.98766,0.79877,0.78628,0.42769,1.24603,0.0098515,0.0098515,0.0098515
17,9075.33,0.75401,0.39978,1.28357,0.94556,0.95908,0.9838,0.77379,0.85822,0.45285,1.28165,0.0098416,0.0098416,0.0098416
18,9686.14,0.73929,0.39048,1.27259,0.944,0.95325,0.98418,0.80105,0.75212,0.42302,1.21368,0.0098317,0.0098317,0.0098317
19,10301.4,0.73236,0.38601,1.2682,0.9446,0.95291,0.98628,0.78323,0.8173,0.43234,1.24687,0.0098218,0.0098218,0.0098218
20,10929.3,0.72586,0.3797,1.26023,0.94254,0.93854,0.98134,0.78579,0.78924,0.44999,1.24,0.0098119,0.0098119,0.0098119
21,11558,0.71924,0.38313,1.25376,0.96216,0.96208,0.98736,0.78022,0.85655,0.41099,1.28349,0.009802,0.009802,0.009802
22,12178.2,0.71752,0.37519,1.25757,0.95658,0.95276,0.9855,0.79193,0.78568,0.44746,1.23309,0.0097921,0.0097921,0.0097921
23,12827.3,0.70689,0.37308,1.24973,0.96055,0.95941,0.98965,0.8027,0.75345,0.41182,1.21412,0.0097822,0.0097822,0.0097822
24,13470.3,0.70211,0.36729,1.24552,0.95401,0.95609,0.98747,0.81375,0.73722,0.39593,1.20148,0.0097723,0.0097723,0.0097723
25,14109.8,0.70854,0.36541,1.24986,0.96049,0.95941,0.98839,0.81369,0.74259,0.3829,1.19971,0.0097624,0.0097624,0.0097624
26,14778.3,0.69128,0.36383,1.23429,0.95418,0.9654,0.98863,0.8178,0.71652,0.3878,1.1835,0.0097525,0.0097525,0.0097525
27,15428.1,0.69291,0.36244,1.23387,0.96297,0.95675,0.98729,0.79622,0.77765,0.41244,1.20769,0.0097426,0.0097426,0.0097426
28,16080.1,0.68688,0.36286,1.23096,0.96529,0.96607,0.9885,0.80129,0.78073,0.39241,1.21948,0.0097327,0.0097327,0.0097327
29,16721.9,0.68188,0.36114,1.2248,0.95916,0.95327,0.98836,0.81687,0.71509,0.3883,1.19092,0.0097228,0.0097228,0.0097228
30,17379.9,0.6782,0.35836,1.22374,0.96612,0.95875,0.99021,0.81763,0.72042,0.3816,1.18067,0.0097129,0.0097129,0.0097129
31,18040.6,0.68111,0.35613,1.22367,0.95563,0.9674,0.98996,0.81846,0.71201,0.37405,1.18698,0.009703,0.009703,0.009703
32,18692.5,0.67895,0.35217,1.22308,0.96738,0.96407,0.98966,0.80814,0.7521,0.38921,1.20179,0.0096931,0.0096931,0.0096931
33,19331.8,0.66727,0.34207,1.21935,0.95708,0.96431,0.98903,0.81755,0.72243,0.38192,1.19699,0.0096832,0.0096832,0.0096832
34,19964,0.67487,0.35224,1.21676,0.96202,0.97006,0.98995,0.82577,0.69385,0.36227,1.17205,0.0096733,0.0096733,0.0096733
35,20588.4,0.66683,0.3425,1.21414,0.96188,0.95143,0.98866,0.82461,0.67883,0.36497,1.16245,0.0096634,0.0096634,0.0096634
36,21213.9,0.66316,0.34938,1.21262,0.95802,0.95343,0.98801,0.82539,0.69765,0.36202,1.17367,0.0096535,0.0096535,0.0096535
37,21842.6,0.65926,0.34893,1.20801,0.95929,0.97206,0.98987,0.81798,0.71388,0.35877,1.18039,0.0096436,0.0096436,0.0096436
38,22466.2,0.64974,0.34146,1.20245,0.95949,0.96137,0.98806,0.81068,0.72872,0.38879,1.18379,0.0096337,0.0096337,0.0096337
39,23092.3,0.65727,0.33978,1.20694,0.95496,0.95934,0.98797,0.82412,0.69638,0.35628,1.16976,0.0096238,0.0096238,0.0096238
40,23715.2,0.65768,0.34309,1.20491,0.96606,0.95077,0.98752,0.83059,0.67106,0.35891,1.15485,0.0096139,0.0096139,0.0096139
41,24348.2,0.65107,0.34347,1.20146,0.95185,0.96806,0.98668,0.82381,0.68781,0.36634,1.14751,0.009604,0.009604,0.009604
42,24992.3,0.65475,0.33667,1.20388,0.96982,0.96141,0.98885,0.82397,0.69651,0.34681,1.17399,0.0095941,0.0095941,0.0095941
43,25627,0.6431,0.33399,1.1957,0.96657,0.96873,0.99018,0.82018,0.72164,0.3541,1.16916,0.0095842,0.0095842,0.0095842
44,26274.3,0.6451,0.33548,1.20217,0.95843,0.9654,0.9887,0.83353,0.67394,0.34583,1.14988,0.0095743,0.0095743,0.0095743
45,26929.7,0.64509,0.33171,1.20041,0.95647,0.96673,0.98671,0.83455,0.67285,0.34432,1.15458,0.0095644,0.0095644,0.0095644
46,27557.8,0.6477,0.33496,1.20185,0.96092,0.96806,0.98813,0.83643,0.66426,0.35932,1.15265,0.0095545,0.0095545,0.0095545
47,28207.6,0.63644,0.33584,1.19143,0.96868,0.96729,0.98897,0.81683,0.73736,0.35237,1.19161,0.0095446,0.0095446,0.0095446
48,28852.7,0.64951,0.332,1.19578,0.96028,0.97538,0.99027,0.82799,0.68339,0.35315,1.15313,0.0095347,0.0095347,0.0095347
49,29510.8,0.64146,0.33731,1.19705,0.96343,0.96408,0.98954,0.8332,0.66108,0.34882,1.14982,0.0095248,0.0095248,0.0095248
50,30189.7,0.63614,0.33229,1.18921,0.9688,0.9674,0.98915,0.83646,0.66238,0.3413,1.14509,0.0095149,0.0095149,0.0095149
51,30853.1,0.63498,0.33114,1.1938,0.96377,0.96341,0.98847,0.84206,0.64669,0.35025,1.13473,0.009505,0.009505,0.009505
52,31511.1,0.6348,0.33137,1.19229,0.963,0.97472,0.99037,0.83639,0.68079,0.33954,1.16469,0.0094951,0.0094951,0.0094951
53,32165,0.63322,0.33068,1.18785,0.96886,0.97281,0.98961,0.83361,0.66072,0.33688,1.14279,0.0094852,0.0094852,0.0094852
54,32833.1,0.63258,0.32324,1.19085,0.96479,0.96618,0.98904,0.84626,0.63581,0.3322,1.13459,0.0094753,0.0094753,0.0094753
55,33488.5,0.62495,0.32085,1.17634,0.9701,0.97073,0.98989,0.8396,0.65442,0.325,1.1519,0.0094654,0.0094654,0.0094654
56,34161.1,0.62105,0.32873,1.17501,0.97256,0.96702,0.99096,0.84667,0.65409,0.325,1.14113,0.0094555,0.0094555,0.0094555
57,34821.6,0.62538,0.3211,1.18034,0.95945,0.96019,0.98774,0.84648,0.63512,0.33356,1.13156,0.0094456,0.0094456,0.0094456
58,35499.4,0.62622,0.31923,1.18858,0.96742,0.96607,0.98966,0.84897,0.62751,0.32667,1.1226,0.0094357,0.0094357,0.0094357
59,36176.5,0.62754,0.3194,1.17814,0.96236,0.96959,0.98951,0.84876,0.63668,0.33323,1.13083,0.0094258,0.0094258,0.0094258
60,36833.1,0.62449,0.32644,1.1835,0.96188,0.97206,0.98889,0.84619,0.63128,0.34094,1.12856,0.0094159,0.0094159,0.0094159
61,37486.5,0.61659,0.32158,1.16966,0.97093,0.96873,0.99059,0.85034,0.6387,0.32708,1.12396,0.009406,0.009406,0.009406
62,38142.9,0.6205,0.3248,1.17989,0.96237,0.96984,0.98953,0.84463,0.64113,0.32751,1.12677,0.0093961,0.0093961,0.0093961
63,38779.9,0.61902,0.32323,1.17539,0.96935,0.97272,0.99051,0.84923,0.64694,0.31524,1.12855,0.0093862,0.0093862,0.0093862
64,39401.3,0.62045,0.32371,1.18023,0.96078,0.97538,0.98951,0.84255,0.63491,0.3243,1.12866,0.0093763,0.0093763,0.0093763
65,40033,0.62061,0.31511,1.17773,0.9758,0.96673,0.9896,0.84974,0.63269,0.32085,1.11457,0.0093664,0.0093664,0.0093664
66,40658.5,0.61377,0.32248,1.16906,0.96283,0.96505,0.98933,0.85178,0.62222,0.33206,1.11018,0.0093565,0.0093565,0.0093565
67,41266.2,0.61584,0.31365,1.17274,0.96713,0.97139,0.98999,0.85862,0.61392,0.31233,1.10721,0.0093466,0.0093466,0.0093466
68,41897.2,0.6249,0.31571,1.1773,0.9707,0.96975,0.99056,0.85585,0.61799,0.32072,1.11946,0.0093367,0.0093367,0.0093367
69,42506.6,0.61759,0.31562,1.1724,0.97532,0.97266,0.99149,0.85426,0.62745,0.32048,1.12115,0.0093268,0.0093268,0.0093268
70,43124.9,0.61348,0.31533,1.1726,0.9706,0.97339,0.99104,0.85348,0.61869,0.31513,1.11405,0.0093169,0.0093169,0.0093169
71,43728.2,0.62081,0.32062,1.17367,0.96841,0.9674,0.99012,0.859,0.61001,0.31358,1.10407,0.009307,0.009307,0.009307
72,44341.5,0.61729,0.31633,1.17378,0.96443,0.97339,0.98908,0.86113,0.60713,0.31161,1.10407,0.0092971,0.0092971,0.0092971
73,44938.2,0.60936,0.31598,1.16724,0.97203,0.97111,0.991,0.8627,0.60856,0.31061,1.1126,0.0092872,0.0092872,0.0092872
74,45534.4,0.60885,0.31255,1.16555,0.9662,0.97538,0.99124,0.85921,0.61237,0.31239,1.11149,0.0092773,0.0092773,0.0092773
75,46131.3,0.60689,0.31588,1.16303,0.96828,0.97206,0.99018,0.86103,0.60453,0.30863,1.10578,0.0092674,0.0092674,0.0092674
76,46735.2,0.61237,0.31571,1.17079,0.97303,0.97139,0.99104,0.8645,0.60909,0.30356,1.10574,0.0092575,0.0092575,0.0092575
77,47344.6,0.60828,0.31044,1.16724,0.97612,0.97206,0.99132,0.86282,0.60808,0.29893,1.10378,0.0092476,0.0092476,0.0092476
78,47951.4,0.60728,0.31157,1.16749,0.96897,0.97652,0.9909,0.86536,0.60068,0.30433,1.10073,0.0092377,0.0092377,0.0092377
79,48557.6,0.60508,0.30644,1.16853,0.96478,0.97472,0.99102,0.86587,0.60317,0.30704,1.09806,0.0092278,0.0092278,0.0092278
80,49151.6,0.60859,0.31091,1.16403,0.97169,0.96939,0.9913,0.86783,0.5916,0.30372,1.09181,0.0092179,0.0092179,0.0092179
81,49735.7,0.59815,0.3101,1.15741,0.97212,0.9745,0.99156,0.86306,0.60103,0.3034,1.09469,0.009208,0.009208,0.009208
82,50327,0.60987,0.3135,1.16685,0.97143,0.97472,0.99125,0.86262,0.60267,0.30464,1.09756,0.0091981,0.0091981,0.0091981
83,50903.8,0.6034,0.30834,1.16186,0.9716,0.96939,0.99154,0.86089,0.60238,0.30233,1.09666,0.0091882,0.0091882,0.0091882
