epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.068,0.84981,1.74588,1.33527,0.92369,0.91284,0.9512,0.68948,0.86599,1.06865,1.36187,0.00332574,0.00332574,0.00332574
2,761.534,0.81968,0.86576,1.27822,0.94103,0.91484,0.96393,0.73015,0.84152,0.66095,1.33723,0.00665248,0.00665248,0.00665248
3,1167.96,0.88662,0.67835,1.33622,0.9017,0.90951,0.94917,0.65382,1.0551,0.67676,1.55784,0.00997262,0.00997262,0.00997262
4,1578.63,0.90942,0.60947,1.3447,0.90249,0.90518,0.945,0.71038,0.90106,0.61555,1.35168,0.0099703,0.0099703,0.0099703
5,1989.45,0.85033,0.54247,1.30839,0.9555,0.92852,0.9798,0.76759,0.81891,0.49681,1.28745,0.0099604,0.0099604,0.0099604
6,2411.5,0.80911,0.49156,1.27313,0.93569,0.91972,0.9709,0.73139,0.90453,0.52867,1.35416,0.0099505,0.0099505,0.0099505
7,2838.95,0.78157,0.46714,1.24765,0.93646,0.93161,0.9748,0.77117,0.7693,0.49102,1.24987,0.0099406,0.0099406,0.0099406
8,3273.82,0.76325,0.4541,1.2329,0.95482,0.94206,0.97985,0.80186,0.71785,0.42711,1.2099,0.0099307,0.0099307,0.0099307
9,3721.21,0.74361,0.44017,1.22362,0.94399,0.94744,0.98236,0.78952,0.76005,0.44158,1.22824,0.0099208,0.0099208,0.0099208
10,4172.43,0.72448,0.42533,1.20424,0.94868,0.94677,0.98352,0.81429,0.69847,0.41807,1.19423,0.0099109,0.0099109,0.0099109
11,4628.31,0.72249,0.42199,1.20852,0.95116,0.96075,0.98498,0.82246,0.68317,0.41165,1.17127,0.009901,0.009901,0.009901
12,5093.44,0.71487,0.40666,1.19188,0.95643,0.93613,0.98194,0.80636,0.72447,0.40789,1.20066,0.0098911,0.0098911,0.0098911
13,5557.66,0.69905,0.40427,1.19079,0.95033,0.94207,0.98021,0.81218,0.69757,0.41256,1.19806,0.0098812,0.0098812,0.0098812
14,6027.94,0.69333,0.39619,1.18152,0.9571,0.94411,0.98432,0.82648,0.65724,0.40075,1.15236,0.0098713,0.0098713,0.0098713
15,6497.37,0.68146,0.38768,1.17665,0.94808,0.93551,0.98067,0.81512,0.69287,0.40691,1.1802,0.0098614,0.0098614,0.0098614
16,6974.62,0.67513,0.39099,1.17693,0.96544,0.94788,0.9869,0.82292,0.66805,0.37965,1.16419,0.0098515,0.0098515,0.0098515
17,7454.75,0.67315,0.38472,1.17383,0.96435,0.95401,0.98654,0.8154,0.68532,0.41107,1.18273,0.0098416,0.0098416,0.0098416
18,7947.12,0.66545,0.37794,1.16053,0.96716,0.97073,0.99029,0.83885,0.64936,0.34,1.15171,0.0098317,0.0098317,0.0098317
