epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25755.1,0.65475,0.33667,1.20388,0.96982,0.96141,0.98885,0.82397,0.69651,0.34681,1.17399,0.0095941,0.0095941,0.0095941
43,26403.5,0.6431,0.33399,1.1957,0.96657,0.96873,0.99018,0.82018,0.72164,0.3541,1.16916,0.0095842,0.0095842,0.0095842
44,27052.9,0.6451,0.33548,1.20217,0.95843,0.9654,0.9887,0.83353,0.67394,0.34583,1.14988,0.0095743,0.0095743,0.0095743
45,27700.4,0.64509,0.33171,1.20041,0.95647,0.96673,0.98671,0.83455,0.67285,0.34432,1.15458,0.0095644,0.0095644,0.0095644
46,28343.3,0.6477,0.33496,1.20185,0.96092,0.96806,0.98813,0.83643,0.66426,0.35932,1.15265,0.0095545,0.0095545,0.0095545
47,28996.2,0.63644,0.33584,1.19143,0.96868,0.96729,0.98897,0.81683,0.73736,0.35237,1.19161,0.0095446,0.0095446,0.0095446
48,29646.3,0.64951,0.332,1.19578,0.96028,0.97538,0.99027,0.82799,0.68339,0.35315,1.15313,0.0095347,0.0095347,0.0095347
49,30281.5,0.64146,0.33731,1.19705,0.96343,0.96408,0.98954,0.8332,0.66108,0.34882,1.14982,0.0095248,0.0095248,0.0095248
50,30920,0.63614,0.33229,1.18921,0.9688,0.9674,0.98915,0.83646,0.66238,0.3413,1.14509,0.0095149,0.0095149,0.0095149
51,31537.5,0.63498,0.33114,1.1938,0.96377,0.96341,0.98847,0.84206,0.64669,0.35025,1.13473,0.009505,0.009505,0.009505
52,32168.7,0.6348,0.33137,1.19229,0.963,0.97472,0.99037,0.83639,0.68079,0.33954,1.16469,0.0094951,0.0094951,0.0094951
53,32787.2,0.63322,0.33068,1.18785,0.96886,0.97281,0.98961,0.83361,0.66072,0.33688,1.14279,0.0094852,0.0094852,0.0094852
54,33414.5,0.63258,0.32324,1.19085,0.96479,0.96618,0.98904,0.84626,0.63581,0.3322,1.13459,0.0094753,0.0094753,0.0094753
55,34040.2,0.62495,0.32085,1.17634,0.9701,0.97073,0.98989,0.8396,0.65442,0.325,1.1519,0.0094654,0.0094654,0.0094654
56,34661.5,0.62105,0.32873,1.17501,0.97256,0.96702,0.99096,0.84667,0.65409,0.325,1.14113,0.0094555,0.0094555,0.0094555
57,35275.2,0.62538,0.3211,1.18034,0.95945,0.96019,0.98774,0.84648,0.63512,0.33356,1.13156,0.0094456,0.0094456,0.0094456
58,35887.1,0.62622,0.31923,1.18858,0.96742,0.96607,0.98966,0.84897,0.62751,0.32667,1.1226,0.0094357,0.0094357,0.0094357
59,36499.8,0.62754,0.3194,1.17814,0.96236,0.96959,0.98951,0.84876,0.63668,0.33323,1.13083,0.0094258,0.0094258,0.0094258
60,37119.5,0.62449,0.32644,1.1835,0.96188,0.97206,0.98889,0.84619,0.63128,0.34094,1.12856,0.0094159,0.0094159,0.0094159
61,37728.7,0.61659,0.32158,1.16966,0.97093,0.96873,0.99059,0.85034,0.6387,0.32708,1.12396,0.009406,0.009406,0.009406
62,38315.7,0.6205,0.3248,1.17989,0.96237,0.96984,0.98953,0.84463,0.64113,0.32751,1.12677,0.0093961,0.0093961,0.0093961
63,38906.9,0.61902,0.32323,1.17539,0.96935,0.97272,0.99051,0.84923,0.64694,0.31524,1.12855,0.0093862,0.0093862,0.0093862
64,39500.7,0.62045,0.32371,1.18023,0.96078,0.97538,0.98951,0.84255,0.63491,0.3243,1.12866,0.0093763,0.0093763,0.0093763
65,40091.8,0.62061,0.31511,1.17773,0.9758,0.96673,0.9896,0.84974,0.63269,0.32085,1.11457,0.0093664,0.0093664,0.0093664
66,40686.1,0.61377,0.32248,1.16906,0.96283,0.96505,0.98933,0.85178,0.62222,0.33206,1.11018,0.0093565,0.0093565,0.0093565
67,41268.7,0.61584,0.31365,1.17274,0.96713,0.97139,0.98999,0.85862,0.61392,0.31233,1.10721,0.0093466,0.0093466,0.0093466
68,41861.6,0.6249,0.31571,1.1773,0.9707,0.96975,0.99056,0.85585,0.61799,0.32072,1.11946,0.0093367,0.0093367,0.0093367
69,42452.5,0.61759,0.31562,1.1724,0.97532,0.97266,0.99149,0.85426,0.62745,0.32048,1.12115,0.0093268,0.0093268,0.0093268
70,43055.6,0.61348,0.31533,1.1726,0.9706,0.97339,0.99104,0.85348,0.61869,0.31513,1.11405,0.0093169,0.0093169,0.0093169
71,43652.2,0.62081,0.32062,1.17367,0.96841,0.9674,0.99012,0.859,0.61001,0.31358,1.10407,0.009307,0.009307,0.009307
72,44229.5,0.61729,0.31633,1.17378,0.96443,0.97339,0.98908,0.86113,0.60713,0.31161,1.10407,0.0092971,0.0092971,0.0092971
73,44821.2,0.60936,0.31598,1.16724,0.97203,0.97111,0.991,0.8627,0.60856,0.31061,1.1126,0.0092872,0.0092872,0.0092872
74,45404.9,0.60885,0.31255,1.16555,0.9662,0.97538,0.99124,0.85921,0.61237,0.31239,1.11149,0.0092773,0.0092773,0.0092773
75,45999.2,0.60689,0.31588,1.16303,0.96828,0.97206,0.99018,0.86103,0.60453,0.30863,1.10578,0.0092674,0.0092674,0.0092674
76,46589.4,0.61237,0.31571,1.17079,0.97303,0.97139,0.99104,0.8645,0.60909,0.30356,1.10574,0.0092575,0.0092575,0.0092575
77,47175.5,0.60828,0.31044,1.16724,0.97612,0.97206,0.99132,0.86282,0.60808,0.29893,1.10378,0.0092476,0.0092476,0.0092476
78,47760.9,0.60728,0.31157,1.16749,0.96897,0.97652,0.9909,0.86536,0.60068,0.30433,1.10073,0.0092377,0.0092377,0.0092377
79,48341.7,0.60508,0.30644,1.16853,0.96478,0.97472,0.99102,0.86587,0.60317,0.30704,1.09806,0.0092278,0.0092278,0.0092278
80,48916.6,0.60859,0.31091,1.16403,0.97169,0.96939,0.9913,0.86783,0.5916,0.30372,1.09181,0.0092179,0.0092179,0.0092179
81,49490.4,0.59815,0.3101,1.15741,0.97212,0.9745,0.99156,0.86306,0.60103,0.3034,1.09469,0.009208,0.009208,0.009208
82,50061.6,0.60987,0.3135,1.16685,0.97143,0.97472,0.99125,0.86262,0.60267,0.30464,1.09756,0.0091981,0.0091981,0.0091981
83,50632.4,0.6034,0.30834,1.16186,0.9716,0.96939,0.99154,0.86089,0.60238,0.30233,1.09666,0.0091882,0.0091882,0.0091882
84,51200.1,0.60226,0.30774,1.16524,0.97085,0.97738,0.99199,0.8618,0.60518,0.29424,1.11081,0.0091783,0.0091783,0.0091783
85,51768.2,0.60959,0.3069,1.16117,0.96753,0.97804,0.99123,0.86681,0.59799,0.29831,1.10672,0.0091684,0.0091684,0.0091684
86,52326,0.59826,0.3099,1.15937,0.97457,0.97538,0.99249,0.86773,0.60145,0.29721,1.10925,0.0091585,0.0091585,0.0091585
87,52878.6,0.60036,0.30372,1.15741,0.97404,0.97342,0.99225,0.86694,0.59465,0.29455,1.10428,0.0091486,0.0091486,0.0091486
88,53444.1,0.60012,0.30222,1.15828,0.97254,0.97472,0.99166,0.86875,0.59614,0.29139,1.10139,0.0091387,0.0091387,0.0091387
89,54001,0.60007,0.30412,1.15839,0.97436,0.97073,0.99196,0.86677,0.59806,0.28937,1.09634,0.0091288,0.0091288,0.0091288
